text,region
When you like something on twit a lil pumpkin pops up🎃🙈,cincinnati
my future wife better take me tf out this country,new york
"Wait, that's Denzel?!?",minneapolis
"Let em rest and get completely healthy, shouldn’t need them against Bills with Peterman starting",oklahoma city
Thank you to  for mailing my #bose speaker... And for a great night's sleep! #sleptoogoodmaybe? Lol ,houston
That is an amazing custome! Who is inside?,houston
Happy Halloween 🎃,los angeles
Don’t drag Elphaba into this mess! #Wicked #DefyGravity,charlotte
Thanks. I know she thinks of your mom all the time.,los angeles
Why does Eric have a key to Katie's house?,san francisco
"・・・
Ever wanted to host a show on our stage? Here is your weekly opportunity! Email us for more info @ The Cavern Bar ",toronto
"This is very true! I myself have not really gained a following, but, I did go to school!  I think my concern is with how many people buy the tools but don’t learn the skills and don’t want to.   I’m all for building your following and getting clients even if they aren’t big ones.",kansas city
You can’t start a sentence with “and” sir.,tampa
"I'm at Toonerville Deli in Louisville, KY ",cincinnati
Now we have a perfect window into the looniness of the Right! This bunch must belong to the same insanity club Alice Jones belongs to!,charlotte
Blessed🙏🏽      Where all my Bulldogs at?🐶🐾 ,nashville
Ribs are looking great! Stop in today for yours! Dine in or carry out 🍴 @ Countryside Grill ,chicago
I’m gonna be painted out like a joke,pittsburgh
"DON’T buckle with Trump’s stupid tweet! Stand ur ground!!! Please everyone has been wondering why you don’t speak! You finally did~Trump insane! Think respect &amp; honor, u know more than that creep! Please be smart!!! He’s crazy &amp; you know it! Don’t kiss his b***! 🙏🏻👌🏻",los angeles
Don’t forget to sign up for the December 1 SAT the deadline is on November 2 :),charlotte
I have watched obedience at crufts many years ago. I loved seeing the dogs work. Not as many dogs do obedience here in the western part of the US .,denver
[fall favs]. gorgeous oxidized metal statement earrings $102. #ootd #lotd #fashion #earrings #jewels @ Shop Em's ,houston
"WE KNOW HOW #DESPERATE #YOU #LIBERAL #DEMOCRATS #ARE

WE THE PEOPLE #WILL👉#NOT👈LET YOU #DESTROY #OUR #AMERICA #OUR #TRUMP #OUR #LIFE👈👈👈👈

WE PATRIOTS WILL💥STORM💥 THE ELECTION POLLS AND VOTE
🇺🇸🇺🇸NOVEMBER-6-2018🇺🇸💥
 #REPUBLICAN #COWBOYBUCKOUT ",oklahoma city
"#Repost brianlantzphotography
・・・
Tonight at the Brooklyn Arts Center Travis Shallow and the Deep End will be playing the #NHRMCStrong benefit to help hard hit staff at NHRMC. This should… ",charlotte
Love getting up early in the morning to watch the sunrise for Heidi! #HonkForHeidi ,minneapolis
I feel like the right person see me Booooom it’s over 🤧 no 🧢,new york
Agreed prime example is Brussels sprouts,washington
HAPPY #HALLOWEEN!! My favorite time of the year!!🎃💀🍂 ,nashville
Mango Grandpa? Now that is putting some fruit flavoring in the physical description department....,san francisco
Senator Graham knows that his time is up and his party and no longer can disguise the white superiority complex.Natures balance is taking control because the people are clearly deaf dumb and blind to the truth.,new york
They’re all on Echo,new york
Omg you should do one of those Facebook charity fundraisers for your bday but instead of a donation have people buy the single ,kansas city
Would you rather be a,charlotte
I’m all powet,cincinnati
to your credit i dont think youve put a kid in one frame of any of your films ive see,tampa
whole body shaves b having you ready to pass out 😭😭,cincinnati
Happy belated HOU DAT birthday to you! Hope you enjoyed your day to the fullest!,houston
AWESOME!  Sitting her laughing as it is a perfect description of a monster!  we have living in the American people's White House.,oklahoma city
I love how every time it rains I have to walk to my class that’s a mile from my dorm🤩,oklahoma city
"Alright y’all no black face, racist or other costumes that appropriate a culture that you DON’T posses!",houston
Thoughts and prayers.,new york
I needs stop waking up in cars🤷🏽‍♀️,los angeles
I think you guys think employment solves everything these jobs pay shitty. And living cost is insane. You can have a job and be broke as hell like half of America. This economy is a shit show.,los angeles
I will never root for the UNIVERSITY OF MARYLAND in ANY SPORT EVER. My children WILL NOT ATTEND EITHER.,washington
